MASSING STUDIES,,,2010/blocking1.png,2010/blocking1.JPG,Blocking Model,WOOD,FALL 2012,,,
MASSING STUDIES,M;D,,2010/blocking2.png,2010/blocking2.JPG,Blocking Model,WOOD,FALL 2012,,,
MASSING STUDIES,,,2010/blocking3.png,2010/blocking3.JPG,Blocking Model,WOOD,FALL 2011,,,
KNOT PROJECT,,,2010/build1.png,2010/build1.jpg,Waffle Model,CHIPBOARD,FALL 2011,,,
KNOT PROJECT,,,2010/build2.png,2010/build2.jpg,Waffle Modele,CHIPBOARD,FALL 2011,,,
2010,M,,2010/build3.png,2010/build3.jpg,"Wood Puzzle, Knot Explorations",WOOD,FALL 2011,,,
2010 FINAL,D,,2010/Diagrams.png,2010/Diagrams.png,"Work for Final, Exploded Axon",DIGITAL,FALL 2011,,,
2010,D,,2010/draft.png,2010/draft.png,Tool Investigation,DRAFTED,FALL 2011,,,
KNOT PROJECT,,,2010/First.png,2010/First.png,Study Render,DIGITAL,FALL 2011,,,
KNOT PROJECT,,,2010/fourth.png,2010/fourth.png,Study Render,DIGITAL,FALL 2011,,,
2010 FINAL,,,2010/fromrhino.png,2010/FromRhino.jpg,Digital Sketch,DIGITAL,FALL 2011,,,
2010 FINAL,,,2010/frontrender.png,2010/frontrender.png,Front Render,MAXWELL,FALL 2011,,,
2010 FINAL,,,2010/Interior2.png,2010/Interior2.png,Interior Render,MAXWELL,FALL 2011,,,
2010 FINAL,,,2010/Interior3.png,2010/Interior3.bmp,Interior Render,MAXWELL,FALL 2011,,,
2010 FINAL,,,2010/interior4.png,2010/interior4.JPG,Interior Render,MAXWELL,FALL 2011,,,
2010 FINAL,,,2010/interior5.png,2010/interior5.JPG,Rendered Light Study,MAXWELL,FALL 2011,,,
2010 FINAL,,,2010/modelext.png,2010/model.JPG,"Model, Exterior Roof Garden","WOOD, CHIPBOARD",FALL 2011,,,
2010 FINAL,,,2010/model2.png,2010/model2.JPG,"Model, Full View","WOOD, CHIPBOARD",FALL 2011,,,
2010 FINAL,,,2010/model3.png,2010/model3.JPG,Interior Model,CHIPBOARD,FALL 2011,,,
2010 FINAL,M;D,,2010/model4.png,2010/model4.JPG,Interior Model,CHIPBOARD,FALL 2011,,,
2010 FINAL,D,,2010/section1.png,2010/section1.png,Transverse Section of Final Model,MIXED MEDIA,FALL 2011,,,
2010 FINAL,,,2010/section2.png,2010/section2.png,Longitudinal Section of Final Model,MIXED MEDIA,FALL 2011,,,
2010,,,2010/striker.png,2010/striker.png,Tool Investigation,DIGITAL,FALL 2011,,,
2010,D,,2010/Third.png,2010/Third.png,Massing Study,MAXWELL,FALL 2011,,,
2010,D,,2010/tinymodel.png,2010/tinymodel1.JPG,Study Model,WOOD,FALL 2011,,,
2010,,,2010/tinymodel2.png,2010/tinymodel2.JPG,Study Model,WOOD,FALL 2011,,,
2010,,,2010/tinymodel3.png,2010/tinymodel3.JPG,Study Model,WOOD,FALL 2011,,,
2010,M;D,,2010/model5.jpg,2010/model5.jpg,Final Model,"WOOD, CHIPBOARD",SPRING 2012,,,
2020 FINAL,M;D,,2020/final1.png,2020/final1.JPG,Final Model,"CHIPBOARD, ABS PLASTIC",SPRING 2012,,,
,,,2020/final2.png,2020/final2.JPG,Final Model,"CHIPBOARD, ABS PLASTIC",SPRING 2012,,,
2020 FINAL,,,2020/final3.png,2020/final3.JPG,Final Model,"CHIPBOARD, ABS PLASTIC",SPRING 2012,,,
2020 FINAL,M,,2020/final4.png,2020/final4.JPG,3D Print for Final Model,ABS PLASTIC,SPRING 2012,,,
2020 FINAL,,,2020/final5.png,2020/final5.JPG,Final Model,"CHIPBOARD, ABS PLASTIC",SPRING 2012,,,
2020 FINAL,D,,2020/final6.png,2020/final6.jpg,Use Diagram,DIGITAL,SPRING 2012,,,
